RegionID,SizeRank,RegionName,RegionType,StateName,2024-10-05,City
394666,99,"Harrisburg, PA",msa,PA,21.0,HARRISBURG
395113,100,"Spokane, WA",msa,WA,46.0,SPOKANE
395075,101,"Scranton, PA",msa,PA,32.0,SCRANTON
394460,102,"Chattanooga, TN",msa,TN,46.0,CHATTANOOGA
394871,103,"Modesto, CA",msa,CA,31.0,MODESTO
394768,104,"Lancaster, PA",msa,PA,17.0,LANCASTER
394997,105,"Portland, ME",msa,ME,29.0,PORTLAND
395245,106,"Youngstown, OH",msa,OH,27.0,YOUNGSTOWN
394770,107,"Lansing, MI",msa,MI,24.0,LANSING
394589,109,"Fayetteville, NC",msa,NC,35.0,FAYETTEVILLE
394792,110,"Lexington, KY",msa,KY,29.0,LEXINGTON
394971,111,"Pensacola, FL",msa,FL,70.0,PENSACOLA
395068,112,"Santa Rosa, CA",msa,CA,38.0,SANTA ROSA
395019,113,"Reno, NV",msa,NV,51.0,RENO
394698,114,"Huntsville, AL",msa,AL,52.0,HUNTSVILLE
394995,115,"Port St. Lucie, FL",msa,FL,69.0,PORT ST. LUCIE
394761,116,"Lafayette, LA",msa,LA,56.0,LAFAYETTE
394898,117,"Myrtle Beach, SC",msa,SC,71.0,MYRTLE BEACH
395116,118,"Springfield, MO",msa,MO,41.0,SPRINGFIELD
395195,119,"Visalia, CA",msa,CA,51.0,VISALIA
394746,120,"Killeen, TX",msa,TX,70.0,KILLEEN
395244,122,"York, PA",msa,PA,23.0,YORK
395183,123,"Vallejo, CA",msa,CA,37.0,VALLEJO
753917,124,"Santa Maria, CA",msa,CA,37.0,SANTA MARIA
395050,125,"Salinas, CA",msa,CA,46.0,SALINAS
395048,126,"Salem, OR",msa,OR,54.0,SALEM
394870,127,"Mobile, AL",msa,AL,51.0,MOBILE
395015,128,"Reading, PA",msa,PA,19.0,READING
394502,129,"Corpus Christi, TX",msa,TX,83.0,CORPUS CHRISTI
394421,130,"Brownsville, TX",msa,TX,83.0,BROWNSVILLE
394820,131,"Manchester, NH",msa,NH,20.0,MANCHESTER
394612,132,"Fort Wayne, IN",msa,IN,27.0,FORT WAYNE
394658,133,"Gulfport, MS",msa,MS,67.0,GULFPORT
395051,134,"Salisbury, MD",msa,DE,49.0,"SALISBURY, MD"
394596,135,"Flint, MI",msa,MI,37.0,FLINT
394972,136,"Peoria, IL",msa,IL,33.0,PEORIA
394439,137,"Canton, OH",msa,OH,27.0,CANTON
395070,138,"Savannah, GA",msa,GA,51.0,SAVANNAH
394327,139,"Anchorage, AK",msa,AK,31.0,ANCHORAGE
394372,140,"Beaumont, TX",msa,TX,68.0,BEAUMONT
395096,141,"Shreveport, LA",msa,LA,63.0,SHREVEPORT
395164,142,"Trenton, NJ",msa,NJ,31.0,TRENTON
394875,143,"Montgomery, AL",msa,AL,46.0,MONTGOMERY
394520,144,"Davenport, IA",msa,IL,32.0,"DAVENPORT, IA"
395146,145,"Tallahassee, FL",msa,FL,54.0,TALLAHASSEE
394576,146,"Eugene, OR",msa,OR,53.0,EUGENE
394901,147,"Naples, FL",msa,FL,108.0,NAPLES
394332,148,"Ann Arbor, MI",msa,MI,32.0,ANN ARBOR
394927,149,"Ocala, FL",msa,FL,73.0,OCALA
394697,151,"Huntington, WV",msa,OH,35.0,"HUNTINGTON, WV"
394602,152,"Fort Collins, CO",msa,CO,68.0,FORT COLLINS
395033,153,"Rockford, IL",msa,IL,21.0,ROCKFORD
394796,154,"Lincoln, NE",msa,NE,29.0,LINCOLN
394622,155,"Gainesville, FL",msa,FL,69.0,GAINESVILLE
394405,156,"Boulder, CO",msa,CO,60.0,BOULDER
394646,157,"Green Bay, WI",msa,WI,47.0,GREEN BAY
394488,158,"Columbus, GA",msa,GA,44.0,COLUMBUS
395107,159,"South Bend, IN",msa,IN,38.0,SOUTH BEND
395109,160,"Spartanburg, SC",msa,SC,56.0,SPARTANBURG
394645,161,"Greeley, CO",msa,CO,52.0,GREELEY
394808,162,"Lubbock, TX",msa,TX,64.0,LUBBOCK
394471,163,"Clarksville, TN",msa,TN,48.0,CLARKSVILLE
395028,164,"Roanoke, VA",msa,VA,30.0,ROANOKE
394579,165,"Evansville, IN",msa,IN,31.0,EVANSVILLE
394747,167,"Kingsport, TN",msa,TN,41.0,KINGSPORT
395179,169,"Utica, NY",msa,NY,42.0,UTICA
394660,170,"Hagerstown, MD",msa,MD,27.0,HAGERSTOWN
394543,171,"Duluth, MN",msa,MN,33.0,DULUTH
394937,172,"Olympia, WA",msa,WA,33.0,OLYMPIA
394803,173,"Longview, TX",msa,TX,89.0,LONGVIEW
395229,174,"Wilmington, NC",msa,NC,57.0,WILMINGTON
395061,175,"San Luis Obispo, CA",msa,CA,35.0,SAN LUIS OBISPO
753875,176,"Crestview, FL",msa,FL,93.0,CRESTVIEW
394851,177,"Merced, CA",msa,CA,43.0,MERCED
395197,178,"Waco, TX",msa,TX,73.0,WACO
394447,179,"Cedar Rapids, IA",msa,IA,31.0,CEDAR RAPIDS
394348,180,"Atlantic City, NJ",msa,NJ,44.0,ATLANTIC CITY
394412,181,"Bremerton, WA",msa,WA,28.0,BREMERTON
395065,183,"Santa Cruz, CA",msa,CA,44.0,SANTA CRUZ
394572,184,"Erie, PA",msa,PA,24.0,ERIE
394924,185,"Norwich, CT",msa,CT,27.0,NORWICH
394323,186,"Amarillo, TX",msa,TX,62.0,AMARILLO
395171,188,"Tuscaloosa, AL",msa,AL,56.0,TUSCALOOSA
394483,189,"College Station, TX",msa,TX,65.0,COLLEGE STATION
394732,190,"Kalamazoo, MI",msa,MI,31.0,KALAMAZOO
394811,191,"Lynchburg, VA",msa,VA,51.0,LYNCHBURG
394455,192,"Charleston, WV",msa,WV,38.0,CHARLESTON
395240,193,"Yakima, WA",msa,WA,44.0,YAKIMA
394585,194,"Fargo, ND",msa,ND,51.0,FARGO
394387,195,"Binghamton, NY",msa,NY,34.0,BINGHAMTON
394609,196,"Fort Smith, AR",msa,AR,51.0,FORT SMITH
845160,198,"Prescott Valley, AZ",msa,AZ,72.0,PRESCOTT VALLEY
395161,199,"Topeka, KS",msa,KS,32.0,TOPEKA
394813,200,"Macon, GA",msa,GA,55.0,MACON
395174,201,"Tyler, TX",msa,TX,73.0,TYLER
394361,202,"Barnstable Town, MA",msa,MA,40.0,BARNSTABLE TOWN
394519,203,"Daphne, AL",msa,AL,84.0,DAPHNE
394378,205,"Bellingham, WA",msa,WA,38.0,BELLINGHAM
394429,206,"Burlington, VT",msa,VT,28.0,BURLINGTON
395030,207,"Rochester, MN",msa,MN,42.0,ROCHESTER
753895,208,"Lafayette, IN",msa,IN,28.0,LAFAYETTE
394454,209,"Champaign, IL",msa,IL,30.0,CHAMPAIGN
394848,210,"Medford, OR",msa,OR,54.0,MEDFORD
845164,211,"Lebanon, NH",msa,NH,38.0,LEBANON
394459,212,"Charlottesville, VA",msa,VA,39.0,CHARLOTTESVILLE
394773,214,"Las Cruces, NM",msa,NM,45.0,LAS CRUCES
394464,215,"Chico, CA",msa,CA,48.0,CHICO
394681,216,"Hilton Head Island, SC",msa,SC,67.0,HILTON HEAD ISLAND
