index,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,County
7083,67917,7259,24014,zip,VA,VA,ROANOKE,"Roanoke, VA",Roanoke City,ROANOKE CITY
7084,69756,7259,28164,zip,NC,NC,STANLEY,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,GASTON
7085,58234,7261,01060,zip,MA,MA,NORTHAMPTON,"Springfield, MA",Hampshire County,HAMPSHIRE
7086,73102,7262,34442,zip,FL,FL,HERNANDO,"Homosassa Springs, FL",Citrus County,CITRUS
7087,83534,7263,58203,zip,ND,ND,GRAND FORKS,"Grand Forks, ND-MN",Grand Forks County,GRAND FORKS
7088,99485,7263,97914,zip,OR,OR,ONTARIO,"Ontario, OR-ID",Malheur County,MALHEUR
7089,70339,7265,29153,zip,SC,SC,SUMTER,"Sumter, SC",Sumter County,SUMTER
7090,97836,7266,94702,zip,CA,CA,BERKELEY,"San Francisco-Oakland-Berkeley, CA",Alameda County,ALAMEDA
7091,69553,7267,27856,zip,NC,NC,NASHVILLE,"Rocky Mount, NC",Nash County,NASH
7092,80630,7268,51103,zip,IA,IA,SIOUX CITY,"Sioux City, IA-NE-SD",Woodbury County,WOODBURY
7093,78043,7269,46228,zip,IN,IN,INDIANAPOLIS,"Indianapolis-Carmel-Anderson, IN",Marion County,MARION
7094,77972,7270,46122,zip,IN,IN,DANVILLE,"Indianapolis-Carmel-Anderson, IN",Hendricks County,HENDRICKS
7095,89485,7271,72335,zip,AR,AR,FORREST CITY,"Forrest City, AR",Saint Francis County,SAINT FRANCIS
7096,97376,7272,93631,zip,CA,CA,KINGSBURG,"Fresno, CA",Fresno County,FRESNO
7097,71699,7273,31820,zip,GA,GA,MIDLAND,"Columbus, GA-AL",Muscogee County,MUSCOGEE
7098,100167,7273,99218,zip,WA,WA,SPOKANE,"Spokane-Spokane Valley, WA",Spokane County,SPOKANE
7099,77821,7275,45804,zip,OH,OH,LIMA,"Lima, OH",Allen County,ALLEN
7100,73383,7276,35213,zip,AL,AL,MOUNTAIN BROOK,"Birmingham-Hoover, AL",Jefferson County,JEFFERSON
7101,96204,7277,90701,zip,CA,CA,ARTESIA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
7102,96951,7277,92617,zip,CA,CA,IRVINE,"Los Angeles-Long Beach-Anaheim, CA",Orange County,ORANGE
7103,71969,7279,32401,zip,FL,FL,PANAMA CITY,"Panama City, FL",Bay County,BAY
7104,91747,7279,77098,zip,TX,TX,HOUSTON,"Houston-The Woodlands-Sugar Land, TX",Harris County,HARRIS
7105,75557,7281,40203,zip,KY,KY,LOUISVILLE,"Louisville/Jefferson County, KY-IN",Jefferson County,JEFFERSON
7106,73329,7282,35120,zip,AL,AL,ODENVILLE,"Birmingham-Hoover, AL",Saint Clair County,SAINT CLAIR
7107,68719,7283,25704,zip,WV,WV,HUNTINGTON,"Huntington-Ashland, WV-KY-OH",Wayne County,WAYNE
7108,98342,7284,95650,zip,CA,CA,LOOMIS,"Sacramento-Roseville-Folsom, CA",Placer County,PLACER
7109,72635,7285,33478,zip,FL,FL,JUPITER,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,PALM BEACH
7110,79567,7286,49080,zip,MI,MI,GUNPLAIN,"Holland, MI",Allegan County,ALLEGAN
7111,79052,7287,48193,zip,MI,MI,RIVERVIEW,"Detroit-Warren-Dearborn, MI",Wayne County,WAYNE
7112,80095,7288,50036,zip,IA,IA,BOONE,"Ames, IA",Boone County,BOONE
7113,72647,7290,33498,zip,FL,FL,BOCA RATON,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,PALM BEACH
7114,72813,7291,33773,zip,FL,FL,LARGO,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,PINELLAS
7115,77524,7292,45233,zip,OH,OH,CINCINNATI,"Cincinnati, OH-KY-IN",Hamilton County,HAMILTON
7116,90276,7293,74070,zip,OK,OK,SKIATOOK,"Tulsa, OK",Osage County,OSAGE
7117,62049,7294,11239,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
7118,60329,7296,06470,zip,CT,CT,NEWTOWN,"Bridgeport-Stamford-Norwalk, CT",Fairfield County,FAIRFIELD
7119,77910,7297,46013,zip,IN,IN,ANDERSON,"Indianapolis-Carmel-Anderson, IN",Madison County,MADISON
